id,name
--,Không
al,Tổng hợp
ot,Khác
to,Toán
nv,Ngữ Văn
vl,Vật lý
hh,Hóa học
sh,Sinh học
dl,Địa lý
ls,Lịch sử
gd,Giáo dục kinh tế - pháp luật
cn,Công nghệ
c1,Công nghệ công nghiệp
c2,Công nghệ nông nghiệp
th,Tin học
nn,Ngoại ngữ
an,Tiếng Anh
ng,Tiếng Nga
ph,Tiếng Pháp
tq,Tiếng Trung Quốc
nh,Tiếng Nhật
ha,Tiếng Hàn
du,Tiếng Đức
ve,Năng khiếu hội họa
am,Năng khiếu âm nhạc
bd,Năng khiếu biểu diễn
bc,Năng khiếu báo chí
qp,Năng khiếu quay phim truyền hình
td,Năng khiếu thể dục - thể thao
nk,Năng khiếu khác
